term,estimate,std.error,statistic,p.value,outcome,lag
identified,0.21803390300482942,0.08994172661076268,2.4241685280115455,0.015391126514872816,Up-vote,14
scale(production),-0.17172299550359718,0.06136454967700837,-2.7984071651704325,0.005162132670708342,Up-vote,14
scale(reputation),0.29683830325633276,0.040005020978601855,7.420026186590617,1.4449542758327087e-13,Up-vote,14
identified:scale(production),0.12343383380533104,0.050251489153363325,2.4563219097571687,0.014082388414810777,Up-vote,14
identified:scale(reputation),0.14404484089738476,0.04849235793816265,2.9704647705741682,0.002992624785651006,Up-vote,14
identified,0.05757818051081179,0.028490527549354126,2.0209587348310465,0.04335596071745467,Down-vote,14
scale(production),0.041989468137476206,0.046507152975545266,0.9028604300838501,0.3666587786375636,Down-vote,14
scale(reputation),-0.12884261189326102,0.06309998763423143,-2.0418801448918913,0.041234231735609264,Down-vote,14
identified:scale(production),0.05868550740916473,0.03366806767292636,1.7430613476031396,0.08140601287484146,Down-vote,14
identified:scale(reputation),-0.22630168537240336,0.07010748415755792,-3.2279247799538524,0.0012578074309071363,Down-vote,14
identified,0.06434454491251913,0.013514359526159096,4.761198249015833,1.998217032416979e-6,Reply,14
scale(production),-0.019031120469677542,0.016618875656147624,-1.1451509033126188,0.252220758251222,Reply,14
scale(reputation),-0.03017782351513063,0.013720693654798295,-2.199438619823501,0.027908425959867696,Reply,14
identified:scale(production),0.001523199313672012,0.010259580016036106,0.14846604941831876,0.881983072457122,Reply,14
identified:scale(reputation),0.01888353169797591,0.010276593959311487,1.8375282484393374,0.06621213517377934,Reply,14
